Date,Index,Expiry,Type,Strike,Qty,Entry_Price,Entry_Time,Exit_Price,Exit_Time,PL,Exit_Reason,Instr_PL,Instr_Category,Day_PL,Day_Category,VIX_Open,VIX_High,VIX_Low,VIX_Close,VIX_Change_Pct
10-07-2026,SENSEX,16-Jul-2026,CE,77400,20,528.35,11:45,579.9,13:03,-1031.0,₹50 SL,598.0,₹50 SL only,2822.0,1 Instr: ₹50 SL only,13.36,13.36,12.13,12.25,-8.31
10-07-2026,SENSEX,16-Jul-2026,PE,77400,20,462.0,11:45,380.55,15:15,1629.0,EOD,598.0,₹50 SL only,2822.0,1 Instr: ₹50 SL only,13.36,13.36,12.13,12.25,-8.31
13-07-2026,SENSEX,16-Jul-2026,CE,77100,20,446.45,09:45,493.55,09:49,-942.0,₹50 SL,2701.0,₹50 SL only,4436.0,Both: ₹50 SL only,12.25,13.52,9.48,13.28,8.41
13-07-2026,SENSEX,16-Jul-2026,PE,77100,20,453.15,09:45,271.0,15:14,3643.0,EOD,2701.0,₹50 SL only,4436.0,Both: ₹50 SL only,12.25,13.52,9.48,13.28,8.41
13-07-2026,SENSEX,16-Jul-2026,CE,77300,20,472.45,11:45,519.45,11:50,-940.0,₹50 SL,1735.0,₹50 SL only,4436.0,Both: ₹50 SL only,12.25,13.52,9.48,13.28,8.41
13-07-2026,SENSEX,16-Jul-2026,PE,77300,20,464.6,11:45,330.85,15:14,2675.0,EOD,1735.0,₹50 SL only,4436.0,Both: ₹50 SL only,12.25,13.52,9.48,13.28,8.41
14-07-2026,SENSEX,16-Jul-2026,CE,77200,20,413.4,09:45,414.25,10:49,-17.0,BE Trail,-1054.0,₹50 SL + BE hit,424.0,Mixed: ₹50+BE + ₹50 SL,13.28,13.87,11.66,13.75,3.54
14-07-2026,SENSEX,16-Jul-2026,CE,77200,20,369.25,11:45,242.85,15:14,2528.0,EOD,1478.0,₹50 SL only,424.0,Mixed: ₹50+BE + ₹50 SL,13.28,13.87,11.66,13.75,3.54
14-07-2026,SENSEX,16-Jul-2026,PE,77200,20,422.9,09:45,474.75,09:48,-1037.0,₹50 SL,-1054.0,₹50 SL + BE hit,424.0,Mixed: ₹50+BE + ₹50 SL,13.28,13.87,11.66,13.75,3.54
14-07-2026,SENSEX,16-Jul-2026,PE,77200,20,379.0,11:45,431.5,12:27,-1050.0,₹50 SL,1478.0,₹50 SL only,424.0,Mixed: ₹50+BE + ₹50 SL,13.28,13.87,11.66,13.75,3.54
15-07-2026,SENSEX,16-Jul-2026,PE,77500,20,272.65,09:44,325.0,12:53,-1047.0,₹50 SL,3148.0,₹50 SL only,5189.0,Both: ₹50 SL only,13.75,13.87,13.04,13.27,-3.49
15-07-2026,SENSEX,16-Jul-2026,PE,77500,20,271.35,11:44,321.0,12:53,-993.0,₹50 SL,2041.0,₹50 SL only,5189.0,Both: ₹50 SL only,13.75,13.87,13.04,13.27,-3.49
15-07-2026,SENSEX,16-Jul-2026,CE,77500,20,307.65,09:44,97.9,15:14,4195.0,EOD,3148.0,₹50 SL only,5189.0,Both: ₹50 SL only,13.75,13.87,13.04,13.27,-3.49
15-07-2026,SENSEX,16-Jul-2026,CE,77500,20,249.55,11:44,97.85,15:14,3034.0,EOD,2041.0,₹50 SL only,5189.0,Both: ₹50 SL only,13.75,13.87,13.04,13.27,-3.49
16-07-2026,SENSEX,16-Jul-2026,PE,77500,20,203.8,09:45,258.0,09:51,-1084.0,₹50 SL,-1046.0,₹50 SL + BE hit,-55.0,Mixed: ₹50+BE + ₹50 SL,13.27,13.27,12.78,12.88,-2.94
16-07-2026,SENSEX,16-Jul-2026,PE,77500,20,140.65,11:45,192.0,13:00,-1027.0,₹50 SL,991.0,₹50 SL only,-55.0,Mixed: ₹50+BE + ₹50 SL,13.27,13.27,12.78,12.88,-2.94
16-07-2026,SENSEX,16-Jul-2026,CE,77500,20,120.5,09:45,118.6,09:56,38.0,BE Trail,-1046.0,₹50 SL + BE hit,-55.0,Mixed: ₹50+BE + ₹50 SL,13.27,13.27,12.78,12.88,-2.94
